title,url,source,published_date,published_time,keyword,sentiment,relevance_score,country,location,latitude,longitude
Return of malaria feared as UK climate warms,https://www.theguardian.com/environment/2001/feb/10/society.globalwarming,The Guardian,10-02-2001,09:11:40,heatstroke,negative,0.168067227,England,Kent,51.2070748,0.7210362
EU allows in new flood of GM food,https://www.theguardian.com/science/2001/feb/11/gm.food,The Guardian,11-02-2001,02:36:56,flood,negative,0.261437908,England,London,51.5074,-0.1278
Bad weather takes shine off New Year celebrations,https://www.theguardian.com/environment/2001/jan/01/weather.climatechange1,The Guardian,01-01-2001,12:14:24,flood,negative,1,Scotland,Edinburgh,55.9533456,-3.1883749
"Bend Coke's ear on Kyoto, say MPs",https://www.theguardian.com/environment/2001/apr/11/politics.greenpolitics,The Guardian,11-04-2001,12:41:41,flood,positive,0.245700246,England,London,51.5074,-0.1278
The heat is on for a solution in Bonn,https://www.theguardian.com/environment/2001/jul/14/physicalsciences.climatechange,The Guardian,14-07-2001,11:41:48,drought,neutral,0.094607379,England,London,51.5074,-0.1278
The arid expansion,https://www.theguardian.com/environment/2001/jan/11/climatechange.climatechangeenvironment1,The Guardian,11-01-2001,15:22:52,drought,negative,0.121506683,England,Oxford,51.7520131,-1.2578499
Clean up begins after Scottish floods chaos,https://www.theguardian.com/environment/2002/nov/18/naturaldisasters.weather,The Guardian,18-11-2002,01:23:48,flood,neutral,1,Scotland,Scotland,56.7861112,-4.1140518
Guardian's consumer champion fights your corner,https://www.theguardian.com/environment/2002/nov/20/ethicalliving.lifeandhealth,The Guardian,20-11-2002,12:00:15,flood,positive,0.580551524,England,London,51.5074456,-0.1277653
Deluge that could drown an industry,https://www.theguardian.com/environment/2002/aug/15/business.money,The Guardian,15-08-2002,10:25:00,flood,negative,1,England,London,51.5074,-0.1278
South coast fears 100-year high tide,https://www.theguardian.com/environment/2002/oct/06/weather.science,The Guardian,06-10-2002,11:33:08,flood,negative,1,England,Essex,51.7704679,0.4646698
Exotic species threaten North Sea wildlife,https://www.theguardian.com/environment/2002/mar/18/food.highereducation,The Guardian,18-03-2002,09:55:08,flood,negative,0.350877193,England,Essex,51.7704679,0.4646698
Working the web: Johannesburg summit,https://www.theguardian.com/technology/2002/aug/22/internetnews.greenpolitics,The Guardian,22-08-2002,10:42:06,flood,positive,0.137551582,England,London,51.5074456,-0.1277653
Michael Meacher: The global warning Bush must heed,https://www.theguardian.com/environment/2002/may/16/comment.climatechange,The Guardian,16-05-2002,01:39:34,flood,positive,0.516129032,Wales,Wales,52.2928116,-3.73893
Going down,https://www.theguardian.com/environment/2002/feb/16/weekendmagazine.globalwarming,The Guardian,16-02-2002,01:45:08,flood,positive,0.103145952,England,London,51.5074456,-0.1277653
On the rise,https://www.theguardian.com/politics/2002/sep/16/greenpolitics.uk1,The Guardian,16-09-2002,13:36:34,drought,positive,0.172711572,Scotland,Edinburgh,55.9533456,-3.1883749
Thirst for justice,https://www.theguardian.com/environment/2002/dec/18/water.society,The Guardian,18-12-2002,14:35:02,drought,positive,0.100603622,England,London,51.5074,-0.1278
How many kinds of sweet flowers grow in an English country garden? Not many now,https://www.theguardian.com/environment/2002/nov/20/science.highereducation,The Guardian,20-11-2002,09:48:29,drought,positive,0.232919255,England,Kent,51.2070748,0.7210362
Four die in France as wind and rain sweep away heatwave,https://www.theguardian.com/environment/2003/jul/17/weather.france,The Guardian,17-07-2003,01:25:26,cyclone,negative,0.208768267,England,Liverpool,53.4071991,-2.99168
Alexander Chancellor: Burning with shame,https://www.theguardian.com/environment/2003/aug/30/weather.climatechange,The Guardian,30-08-2003,00:49:05,heatstroke,neutral,0.132450331,England,London,51.5074,-0.1278
"50 years on, new menace of fatal flooding",https://www.theguardian.com/environment/2003/jan/04/weather.climatechange1,The Guardian,04-01-2003,01:43:23,flood,neutral,0.635785649,England,Cambridge,52.2055314,0.1186637
Bogs could help Britain meet climate commitment,https://www.theguardian.com/environment/2003/aug/25/climatechange.climatechangeenvironment,The Guardian,25-08-2003,00:55:15,flood,positive,0.613496933,England,Durham,54.666667,-1.75
New weather phenomenon looming: winter drought,https://www.theguardian.com/environment/2003/nov/02/water.climatechange,The Guardian,02-11-2003,00:19:35,flood,positive,0.09380863,England,London,51.5074456,-0.1277653
Sweltering nation on brink of heat record,https://www.theguardian.com/environment/2003/aug/10/weather.climatechange,The Guardian,09-08-2003,23:57:46,flood,negative,0.085470085,England,Surrey,51.2715316,-0.3414524
Dear Leo,https://www.theguardian.com/lifeandstyle/2003/feb/13/shopping.ethicalliving,The Guardian,13-02-2003,12:00:17,flood,neutral,0.070521862,Scotland,Glasgow,55.861155,-4.2501687
Spring's record drought sparks pollution danger,https://www.theguardian.com/environment/2003/apr/19/weather.climatechange,The Guardian,19-04-2003,01:17:50,drought,negative,0.185356812,England,Liverpool,53.4071991,-2.99168
Contamination in Canada sounds warning to UK,https://www.theguardian.com/science/2003/jul/18/gm.food1,The Guardian,18-07-2003,07:38:45,drought,negative,0.088809947,England,London,51.5074,-0.1278
Sixty ways to help to save the planet,https://www.theguardian.com/environment/2003/dec/30/waste.pollution,The Guardian,30-12-2003,16:00:51,drought,positive,0.153964588,England,London,51.5074456,-0.1277653
"Global warming kills 150,000 a year",https://www.theguardian.com/environment/2003/dec/12/climatechange.climatechangeenvironment,The Guardian,12-12-2003,02:16:28,drought,neutral,0.272479564,Wales,Wales,52.2928116,-3.73893
Elephants are latest refugees from Mugabe's Zimbabwe,https://www.theguardian.com/environment/2003/dec/29/zimbabwenews.conservationandendangeredspecies,The Guardian,29-12-2003,02:04:10,drought,negative,0.113636364,England,London,51.5074,-0.1278
The height of summer: heatwave edges close to record,https://www.theguardian.com/environment/2003/aug/05/weather.climatechange,The Guardian,05-08-2003,01:13:45,drought,negative,0.115074799,England,Blackpool,53.8179442,-3.0509812
The GM mirage will not help the poor,https://www.theguardian.com/environment/2003/jun/04/food.gm,The Guardian,04-06-2003,09:42:37,drought,positive,0.117508813,England,London,51.5074,-0.1278
Dr Jean Paultikof and Dr Chris de Freitas: Hot enough for you?,https://www.theguardian.com/environment/2003/aug/16/comment.weather,The Guardian,16-08-2003,01:25:14,drought,positive,0.111982083,Scotland,Glasgow,55.861155,-4.2501687
Mark Lynas on climate change - a personal journey,https://www.theguardian.com/environment/2003/oct/05/scienceandnature.observersciencepages,The Guardian,05-10-2003,00:41:21,drought,negative,0.067408156,England,north Wales,52.9487855,-3.7601273
Heatwave Britain a match for Spain,https://www.theguardian.com/environment/2003/jul/15/weather.climatechange,The Guardian,15-07-2003,01:06:26,heatwave,neutral,1,England,Leicestershire,52.666667,-1
British temperatures set to soar,https://www.theguardian.com/environment/2003/aug/04/weather.theguardian,The Guardian,04-08-2003,12:02:46,heatwave,neutral,0.289855072,England,Brighton,50.8214626,-0.1400561
Letters: turning up the heat,https://www.theguardian.com/environment/2003/aug/06/guardianletters.weather,The Guardian,06-08-2003,01:15:11,heatwave,positive,0.5,England,London,51.5074456,-0.1277653
Another day of sunshine,https://www.theguardian.com/environment/2003/jul/16/weather.climatechange,The Guardian,16-07-2003,01:30:45,heatwave,neutral,0.294985251,England,Surrey,51.2715316,-0.3414524
Summer poised to put records in the shade,https://www.theguardian.com/environment/2003/aug/06/weather.transportintheuk1,The Guardian,06-08-2003,01:15:20,heatwave,positive,0.327064595,England,Kent,51.2070748,0.7210362
Wind of change brings brief respite,https://www.theguardian.com/environment/2003/aug/08/weather.climatechange,The Guardian,08-08-2003,01:36:01,heatwave,positive,0.309119011,England,Kent,51.2070748,0.7210362
Britain swelters in hottest day of the year,https://www.theguardian.com/environment/2003/aug/06/weather.climatechange1,The Guardian,06-08-2003,16:04:59,heatwave,positive,0.176678445,England,Kent,51.2070748,0.7210362
Andrew Clark: The track record,https://www.theguardian.com/environment/2003/aug/12/guardiananalysispage.transportintheuk,The Guardian,12-08-2003,01:14:37,heatwave,neutral,0.212089077,England,Kent,51.2070748,0.7210362
Letters: It's too damn hot,https://www.theguardian.com/environment/2003/aug/11/guardianletters.weather,The Guardian,11-08-2003,01:02:38,heatwave,positive,0.16722408,England,Kent,51.2070748,0.7210362
Britain swelters as temperatures top 30C,https://www.theguardian.com/environment/2003/aug/05/weather.climatechange1,The Guardian,05-08-2003,15:23:30,heatwave,neutral,0.124843945,England,Kent,51.2070748,0.7210362
Records sound red alert over climate,https://www.theguardian.com/environment/2003/aug/11/sciencenews.weather,The Guardian,11-08-2003,10:00:00,heatwave,neutral,0.124688279,England,Kent,51.2070748,0.7210362
Too hot to handle... but we had better get used to it,https://www.theguardian.com/environment/2003/aug/09/weather.climatechange2,The Guardian,09-08-2003,01:10:00,heatwave,negative,0.08650519,England,Kent,51.2070748,0.7210362
Flood sweat and tears,https://www.theguardian.com/environment/2004/nov/07/weather.observermagazine,The Guardian,07-11-2004,01:33:38,flood,positive,0.148676777,England,Northamptonshire,52.3106138,-0.865913
Whole of UK on flood alert as storms surge in from Atlantic,https://www.theguardian.com/environment/2004/aug/21/environment.weather,The Guardian,21-08-2004,11:46:59,flood,negative,1,England,Liverpool,53.4071991,-2.99168
No flood warning issued for Boscastle,https://www.theguardian.com/environment/2004/aug/17/weather.climatechange2,The Guardian,17-08-2004,11:41:16,flood,negative,1,England,London,51.5074456,-0.1277653
Global warming floods threaten 4m in UK,https://www.theguardian.com/environment/2004/apr/22/climatechange,The Guardian,22-04-2004,11:28:44,flood,neutral,1,Wales,Wales,52.2928116,-3.73893
£5m scheme launched to tackle flood problems,https://www.theguardian.com/environment/2004/apr/08/highereducation.research,The Guardian,08-04-2004,07:58:30,flood,neutral,1,England,London,51.5074456,-0.1277653
UK waters may fail new quality tests,https://www.theguardian.com/environment/2004/sep/02/water.environment,The Guardian,02-09-2004,01:13:26,flood,neutral,0.447427293,England,London,51.5074,-0.1278
Letters: Fighting future floods,https://www.theguardian.com/environment/2004/apr/26/guardianletters.climatechange,The Guardian,26-04-2004,01:38:27,flood,neutral,1,England,London,51.5074456,-0.1277653
Best advice for bank holiday weekend is stay at home,https://www.theguardian.com/environment/2004/aug/25/weather.transportintheuk,The Guardian,25-08-2004,22:59:19,flood,neutral,1,England,Manchester,53.4794892,-2.2451148
"Rain, rivers and ruin",https://www.theguardian.com/environment/2004/aug/18/weather.climatechange2,The Guardian,17-08-2004,23:00:54,flood,negative,1,England,Devon,50.7241405,-3.6607788
Dire warnings from global warming report,https://www.theguardian.com/society/2004/oct/25/environment.environment,The Guardian,24-10-2004,23:05:18,flood,neutral,0.471253534,Scotland,Highlands,57.3333333,-4.25
UK set to miss worst of gales,https://www.theguardian.com/environment/2004/jan/12/weather.climatechange1,The Guardian,12-01-2004,14:18:17,flood,neutral,0.327868852,England,Southampton,50.9025349,-1.404189
Leader: Boscastle's warning,https://www.theguardian.com/environment/2004/aug/18/guardianleaders.environment,The Guardian,18-08-2004,10:12:46,flood,negative,1,England,London,51.5074,-0.1278
Top scientist attacks US over global warming,https://www.theguardian.com/environment/2004/jan/09/sciencenews.greenpolitics,The Guardian,09-01-2004,11:49:13,flood,positive,0.563380282,England,London,51.5074456,-0.1277653
Hurricanes and rain hit Britain,https://www.theguardian.com/environment/2004/feb/01/weather.climatechange,The Guardian,01-02-2004,00:50:03,flood,negative,1,England,South West,51.4757777,-0.3985761
Forgotten Bangladesh suffers the rains in silence,https://www.theguardian.com/environment/2004/sep/29/naturaldisasters.weather,The Guardian,29-09-2004,01:49:31,flood,negative,1,England,London,51.5074,-0.1278
Climate change may treble claims,https://www.theguardian.com/environment/2004/jun/06/business.climatechange,The Guardian,06-06-2004,01:24:35,flood,positive,1,England,London,51.5074456,-0.1277653
"Storm dangers mount, and no let-up in weather",https://www.theguardian.com/environment/2004/oct/26/weather.climatechange,The Guardian,26-10-2004,22:55:50,flood,negative,0.79787234,Wales,Wales,52.2928116,-3.73893
"Tsunami death toll rises to 23,700",https://www.theguardian.com/environment/2004/dec/27/naturaldisasters.climatechange,The Guardian,27-12-2004,20:37:19,flood,neutral,0.365853659,England,Manchester,53.4794892,-2.2451148
Government urged to make new buildings more eco-friendly,https://www.theguardian.com/politics/2004/may/18/greenpolitics.regeneration,The Guardian,18-05-2004,02:47:14,flood,positive,0.508905852,England,London,51.5074,-0.1278
Race to deliver emergency supplies to survivors,https://www.theguardian.com/environment/2004/dec/28/indianoceantsunamidecember2004.naturaldisasters3,The Guardian,28-12-2004,15:56:32,flood,negative,0.215517241,Scotland,Glasgow,55.861155,-4.2501687
Record books rewritten as August deluge shows no sign of abating,https://www.theguardian.com/environment/2004/aug/26/weather.climatechange1,The Guardian,26-08-2004,01:55:29,flood,neutral,0.580270793,England,Manchester,53.4794892,-2.2451148
Heavy weather returning to the south,https://www.theguardian.com/environment/2004/jan/13/weather.climatechange,The Guardian,13-01-2004,02:32:54,flood,negative,1,Wales,Wales,52.2928116,-3.73893
"A phenomenon that is difficult to forecast, and impossible to prevent",https://www.theguardian.com/environment/2004/aug/18/environment.weather,The Guardian,18-08-2004,00:37:56,flood,negative,1,Wales,Wales,52.2928116,-3.73893
Ros Coward on the dangers EU enlargement poses to the environment,https://www.theguardian.com/environment/2004/jul/31/europeanunion.weekendmagazine,The Guardian,30-07-2004,23:00:44,flood,negative,0.126103405,England,London,51.5074,-0.1278
Special effects,https://www.theguardian.com/environment/2004/may/28/activists.climatechange,The Guardian,28-05-2004,14:56:37,flood,positive,0.119760479,England,London,51.5074456,-0.1277653
We've had the wrong sort of rain,https://www.theguardian.com/environment/2004/jan/19/water.weather,The Guardian,19-01-2004,02:49:54,flood,positive,0.201207243,England,Leeds,53.7974185,-1.5437941
Despairing GM firms halt crop trials,https://www.theguardian.com/environment/2004/apr/15/food.highereducation,The Guardian,15-04-2004,10:20:36,drought,positive,0.186567164,England,Hertfordshire,51.8400523,-0.0978552
Thames tides set to top up London tapwater,https://www.theguardian.com/environment/2004/jun/14/water.environment,The Guardian,14-06-2004,11:51:55,drought,positive,0.138504155,England,London,51.5074456,-0.1277653
Against the grain,https://www.theguardian.com/society/2004/may/05/environment.gm,The Guardian,05-05-2004,13:19:21,drought,positive,0.093283582,England,London,51.5074,-0.1278
Summer heat will cause deadly ozone,https://www.theguardian.com/environment/2004/may/09/weather.climatechange,The Guardian,09-05-2004,12:41:30,heatwave,neutral,0.963081862,England,Nottingham,52.9534193,-1.1496461
How clean is your air?,https://www.theguardian.com/environment/2004/oct/05/health.lifeandhealth,The Guardian,05-10-2004,15:25:09,heatwave,positive,0.056980057,England,Oxfordshire,51.833333,-1.25
Never mind the weather overkill: scientists praise Hollywood's global warning,https://www.theguardian.com/society/2004/may/13/environment.sciencenews,The Guardian,13-05-2004,10:02:24,heatwave,negative,0.079239303,England,London,51.5074456,-0.1277653
Letters: Monbiot's challenge: making the figures add up,https://www.theguardian.com/environment/2005/dec/01/energy.renewableenergy,The Guardian,01-12-2005,01:48:36,cyclone,positive,0.108108108,England,London,51.5074,-0.1278
'York could be UK's New Orleans',https://www.theguardian.com/politics/2005/sep/08/greenpolitics.uk,The Guardian,08-09-2005,16:52:25,flood,positive,1,England,London,51.5074456,-0.1277653
Storm chaos across the UK,https://www.theguardian.com/environment/2005/jan/08/weather.climatechange,The Guardian,08-01-2005,17:08:50,flood,negative,1,England,Durham,54.666667,-1.75
Heatwave to continue as storms recede,https://www.theguardian.com/environment/2005/jun/21/weather.climatechange1,The Guardian,21-06-2005,12:30:59,flood,neutral,1,England,Lincolnshire,53.1823034,-0.2031209
'The day the sea rose up and took my family away',https://www.theguardian.com/environment/2005/nov/06/weather.scottishparliament,The Guardian,06-11-2005,01:26:47,flood,negative,0.708382527,Scotland,Scotland,56.7861112,-4.1140518
Return of the native,https://www.theguardian.com/environment/2005/dec/30/ruralaffairs.conservationandendangeredspecies,The Guardian,30-12-2005,10:34:30,flood,positive,0.102459016,England,Cambridgeshire,52.333333,0.083333
"South Asia earthquake: Aid arrives as death toll nears 40,000",https://www.theguardian.com/environment/2005/oct/11/pakistan.india,The Guardian,11-10-2005,09:12:52,flood,negative,0.138312586,England,London,51.5074,-0.1278
Three dead as storms batter north,https://www.theguardian.com/environment/2005/jan/10/weather.climatechange,The Guardian,10-01-2005,00:04:12,flood,negative,1,England,Yorkshire,53.9825271,-1.38525
Hose bans loom as reservoirs dry up,https://www.theguardian.com/environment/2005/jun/05/water.weather,The Guardian,05-06-2005,00:35:39,flood,neutral,0.162074554,England,Devon,50.7241405,-3.6607788
Polly Toynbee: Capitulation to the nuclear lobby is a politics of despair,https://www.theguardian.com/environment/2005/may/25/energy.greenpolitics,The Guardian,25-05-2005,07:51:22,flood,neutral,0.167504188,England,London,51.5074456,-0.1277653
Hosepipe ban signals the start of summer,https://www.theguardian.com/environment/2005/jun/06/water.weather,The Guardian,05-06-2005,23:01:31,flood,neutral,0.16,England,Devon,50.7241405,-3.6607788
Protection planned for water vole,https://www.theguardian.com/society/2005/jan/05/environment.environment2,The Guardian,05-01-2005,01:52:21,flood,neutral,0.309597523,England,London,51.5074,-0.1278
Gaby Hinsliff and Mark Townsend: Hell or high water,https://www.theguardian.com/environment/2005/jul/03/water.observerfocus,The Guardian,03-07-2005,01:23:04,flood,negative,0.056785917,Wales,bath,51.3813864,-2.3596963
Heavenly powers,https://www.theguardian.com/environment/2005/jun/30/climatechange.climatechangeenvironment8,The Guardian,30-06-2005,09:29:41,flood,positive,0.063411541,England,Exeter,50.7256138,-3.5269209
Will Hutton: Good for Gordon and Tony,https://www.theguardian.com/politics/2005/jan/30/development.environment,The Guardian,30-01-2005,19:00:35,flood,neutral,0.078802206,England,London,51.5074,-0.1278
Bottled water last defence in drought war,https://www.theguardian.com/environment/2005/apr/03/water.theobserversuknewspages,The Guardian,03-04-2005,01:26:42,drought,positive,1,Wales,bath,51.3813864,-2.3596963
Scorched earth,https://www.theguardian.com/environment/2005/jul/22/water.environment,The Guardian,22-07-2005,01:26:07,drought,positive,0.914285714,England,London,51.5074456,-0.1277653
Autumn will set Britain ablaze,https://www.theguardian.com/environment/2005/sep/11/ruralaffairs.climatechange,The Guardian,10-09-2005,23:43:21,drought,positive,0.10940919,England,Hampshire,51.0449814,-1.2433133
Letters: Splashing out on water,https://www.theguardian.com/environment/2005/aug/17/water.guardianletters,The Guardian,16-08-2005,23:08:40,drought,positive,0.163666121,England,east of England,52.2199774,0.4875777
Water restrictions loom closer as aquifer tapped,https://www.theguardian.com/environment/2005/jul/05/water.politics,The Guardian,05-07-2005,00:59:47,drought,positive,0.330396476,England,London,51.5074456,-0.1277653
Britons face hosepipe bans,https://www.theguardian.com/environment/2005/jun/29/water.weather,The Guardian,29-06-2005,14:53:26,drought,positive,0.237529691,England,London,51.5074456,-0.1277653
Dominic Murphy: The green consumer,https://www.theguardian.com/environment/2005/aug/06/water.ethicalliving,The Guardian,06-08-2005,15:58:20,drought,positive,0.176366843,Wales,bath,51.3813864,-2.3596963
Origin unknown,https://www.theguardian.com/politics/2005/aug/03/greenpolitics.foodanddrink,The Guardian,02-08-2005,23:20:28,drought,positive,0.066050198,England,Essex,51.7704679,0.4646698
Ripe for change,https://www.theguardian.com/environment/2005/jun/30/climatechange.climatechangeenvironment6,The Guardian,30-06-2005,09:18:36,drought,positive,0.108695652,Scotland,Scotland,56.7861112,-4.1140518
George Monbiot: A restraint of liberty,https://www.theguardian.com/politics/2005/may/24/greenpolitics.environment,The Guardian,24-05-2005,00:23:31,drought,neutral,0.082850041,Wales,bath,51.3813864,-2.3596963
Siestas forecast as UK heads for heatwaves,https://www.theguardian.com/environment/2005/aug/13/weather.climatechange,The Guardian,12-08-2005,23:02:45,heatwave,negative,1,Scotland,Scotland,56.7861112,-4.1140518
UK basks in hottest days of the year,https://www.theguardian.com/environment/2005/jun/20/weather.climatechange,The Guardian,20-06-2005,13:07:43,heatwave,negative,0.331674959,England,Devon,50.7241405,-3.6607788
Sunshine launches biggest street party,https://www.theguardian.com/environment/2005/aug/30/weather.arts,The Guardian,30-08-2005,10:28:02,heatwave,neutral,0.322580645,Scotland,Scotland,56.7861112,-4.1140518
London leads Europe in climate change,https://www.theguardian.com/environment/2005/aug/11/weather.climatechange,The Guardian,11-08-2005,15:20:40,heatwave,positive,1,England,London,51.5074456,-0.1277653
Health hazard,https://www.theguardian.com/environment/2005/jun/30/climatechange.climatechangeenvironment4,The Guardian,30-06-2005,09:03:45,heatwave,positive,0.291120815,England,Yorkshire,53.9825271,-1.38525
Alok Jha: Boiled alive,https://www.theguardian.com/environment/2006/jul/26/science.g2,The Guardian,26-07-2006,10:55:55,heatstroke,positive,0.120012001,England,Kent,51.2070748,0.7210362
UK 'could suffer Katrina-style flooding',https://www.theguardian.com/environment/2006/aug/22/climatechange.climatechangeenvironment,The Guardian,22-08-2006,14:57:07,flood,negative,1,England,Hull,53.7435722,-0.3394758
Storm warning for parts of UK and Ireland,https://www.theguardian.com/environment/2006/sep/21/water.weather,The Guardian,21-09-2006,14:49:46,flood,negative,0.284900285,Wales,Wales,52.2928116,-3.73893
Nature reserve floods threaten rare bird,https://www.theguardian.com/environment/2006/nov/02/conservationandendangeredspecies.climatechange,The Guardian,02-11-2006,17:04:52,flood,negative,1,England,Suffolk,52.2410014,1.0465716
British seaside towns braced for spring tides,https://www.theguardian.com/environment/2006/sep/06/water.uknews,The Guardian,06-09-2006,15:55:13,flood,negative,1,England,Lincolnshire,53.1823034,-0.2031209
The key questions at the heart of the UK's environmental future,https://www.theguardian.com/environment/2006/aug/21/science.climatechange,The Guardian,21-08-2006,14:30:38,flood,negative,0.111234705,England,Sheffield,53.3806626,-1.4702278
Norwich Union-owner goes carbon neutral,https://www.theguardian.com/environment/2006/dec/27/climatechange.climatechangeenvironment,The Guardian,27-12-2006,17:08:28,flood,positive,0.324675325,England,London,51.5074,-0.1278
Energy review ignores climate change 'tipping point',https://www.theguardian.com/environment/2006/sep/04/greenpolitics.science,The Guardian,04-09-2006,17:11:06,flood,positive,0,England,Nottingham,52.9534193,-1.1496461
Ask Leo: China-Tibet railway,https://www.theguardian.com/environment/2006/nov/16/askleo.g2,The Guardian,16-11-2006,15:47:45,flood,neutral,0.215053763,England,London,51.5074456,-0.1277653
Letters: Scuppered plans for radioactive waste,https://www.theguardian.com/environment/2006/aug/04/energy.nuclearindustry,The Guardian,03-08-2006,23:14:55,flood,positive,0.67114094,England,Surrey,51.2715316,-0.3414524
Nepal's farmers on the front line of global climate change,https://www.theguardian.com/environment/2006/dec/02/christmasappeal2006.frontpagenews,The Guardian,02-12-2006,16:49:30,flood,neutral,0.23255814,England,Manchester,53.4794892,-2.2451148
It's too late for the planet: or can we pull it from the fire?,https://www.theguardian.com/environment/2006/jun/08/climatechange1,The Guardian,08-06-2006,09:05:22,flood,positive,0.044782803,England,Wiltshire,51.25,-1.916667
Stage one: The carbon highway,https://www.theguardian.com/environment/2006/sep/05/ethicalliving.carbonemissions,The Guardian,05-09-2006,14:44:42,flood,positive,0.211640212,England,London,51.5074456,-0.1277653
Cities in peril as Andean glaciers melt,https://www.theguardian.com/environment/2006/aug/29/glaciers.climatechange,The Guardian,29-08-2006,14:14:58,flood,negative,0.094161959,England,London,51.5074,-0.1278
Living on the edge,https://www.theguardian.com/environment/2006/oct/09/ethicalliving.lifeandhealth,The Guardian,09-10-2006,10:15:01,flood,negative,0.156739812,Scotland,Edinburgh,55.9533456,-3.1883749
Fred Pearce: Cry me a river,https://www.theguardian.com/environment/2006/feb/27/water.g2,The Guardian,27-02-2006,00:16:04,flood,positive,0.123253903,England,London,51.5074456,-0.1277653
"Fire, drought and a dangerous rise in pollution: welcome to tinderbox UK",https://www.theguardian.com/environment/2006/jul/26/weather.climatechange,The Guardian,26-07-2006,14:15:10,drought,negative,0.392541708,England,Liverpool,53.4071991,-2.99168
